line_id,line_name,origin_station,destination_station,station_count,stops_by_line_count,direction_pair_line_id,estimate_status,fallback_source_line_id,fallback_note,selected_strategy,selected_plan_rank,selected_plan_segments_count,selected_line_name,selected_departure_stop,selected_arrival_stop,api_total_duration_s,api_total_duration_min,api_total_distance_m,api_line_duration_s,api_line_distance_m,walking_duration_s,walking_distance_m,average_wait_time_subtracted_s,vehicle_service_time_s,dwell_time_s,pure_running_time_s,matsim_freespeed_mps,speed_kmh,with_dwell_average_speed_mps,with_dwell_average_speed_kmh,line_table_distance_m,warning
350100020612,地铁1号线(象峰--三江口),象峰,三江口,25,25,350100020613,direct_route_api,,,0,1,1,地铁1号线(象峰--三江口),象峰,三江口,3330.0,55.5,29172.0,3330.0,29172.0,0.0,0.0,120.0,3210.0,690.0,2520.0,11.5762,41.674,9.0879,32.716,29172.0,
350100020613,地铁1号线(三江口--象峰),三江口,象峰,25,25,350100020612,direct_route_api,,,0,1,1,地铁1号线(三江口--象峰),三江口,象峰,3330.0,55.5,29172.0,3330.0,29172.0,0.0,0.0,120.0,3210.0,690.0,2520.0,11.5762,41.674,9.0879,32.716,29172.0,
350100020745,地铁2号线(苏洋--洋里),苏洋,洋里,22,22,350100020746,direct_route_api,,,0,1,1,地铁2号线(苏洋--洋里),苏洋,洋里,3450.0,57.5,29335.0,3450.0,29335.0,0.0,0.0,120.0,3330.0,600.0,2730.0,10.7454,38.684,8.8093,31.714,29335.0,
350100020746,地铁2号线(洋里--苏洋),洋里,苏洋,22,22,350100020745,direct_route_api,,,0,1,1,地铁2号线(洋里--苏洋),洋里,苏洋,3390.0,56.5,29335.0,3390.0,29335.0,0.0,0.0,120.0,3270.0,600.0,2670.0,10.9869,39.553,8.9709,32.295,29335.0,
900000076581,地铁6号线(潘墩--万寿),潘墩,万寿,16,16,900000076583,direct_route_api,,,0,1,1,地铁6号线(潘墩--万寿),潘墩,万寿,2760.0,46.0,30743.0,2760.0,30743.0,0.0,0.0,120.0,2640.0,420.0,2220.0,13.8482,49.854,11.6451,41.922,30743.0,
900000076583,地铁6号线(万寿--潘墩),万寿,潘墩,16,16,900000076581,direct_route_api,,,0,1,1,地铁6号线(万寿--潘墩),万寿,潘墩,2760.0,46.0,30740.0,2760.0,30740.0,0.0,0.0,120.0,2640.0,420.0,2220.0,13.8468,49.849,11.6439,41.918,30740.0,
900000088653,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,20,20,900000088654,direct_route_api,,,0,1,1,地铁5号线(荆溪厚屿--福州火车南站),荆溪厚屿,福州火车南站,3120.0,52.0,27208.0,3120.0,27208.0,0.0,0.0,120.0,3000.0,540.0,2460.0,11.0602,39.817,9.0693,32.65,27208.0,
900000088654,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,20,20,900000088653,direct_route_api,,,0,1,1,地铁5号线(福州火车南站--荆溪厚屿),福州火车南站,荆溪厚屿,3180.0,53.0,27208.0,3180.0,27208.0,0.0,0.0,120.0,3060.0,540.0,2520.0,10.7968,38.869,8.8915,32.009,27208.0,
900000090236,地铁4号线(帝封江--半洲),帝封江,半洲,23,23,900000090237,direct_route_api,,,0,2,1,地铁4号线(帝封江--半洲),帝封江,半洲,3210.0,53.5,27872.0,3210.0,27872.0,0.0,0.0,120.0,3090.0,630.0,2460.0,11.3301,40.788,9.0201,32.472,27872.0,
900000090237,地铁4号线(半洲--帝封江),半洲,帝封江,23,23,900000090236,direct_route_api,,,0,2,1,地铁4号线(半洲--帝封江),半洲,帝封江,3150.0,52.5,27872.0,3150.0,27872.0,0.0,0.0,120.0,3030.0,630.0,2400.0,11.6133,41.808,9.1987,33.115,27872.0,
900000139163,滨海快线(福州火车站--文岭),福州火车站,文岭,15,15,900000139164,direct_route_api,,,0,1,1,滨海快线(福州火车站--文岭),福州火车站,文岭,3090.0,51.5,61781.0,3090.0,61781.0,0.0,0.0,120.0,2970.0,390.0,2580.0,23.9461,86.206,20.8017,74.886,61781.0,
900000139164,滨海快线(文岭--福州火车站),文岭,福州火车站,15,15,900000139163,direct_route_api,,,0,1,1,滨海快线(文岭--福州火车站),文岭,福州火车站,2790.0,46.5,61781.0,2790.0,61781.0,0.0,0.0,120.0,2670.0,390.0,2280.0,27.0969,97.549,23.139,83.3,61781.0,
