name,path,exists,file_count,xml_count,manifest_count,top_csv_count,top_json_count,backup_dir_count,bytes,mb
fuzhou_bus_amap_mobile_timetables_2line_after_user_fix,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_2line_after_user_fix,True,43,38,0,4,1,0,4111797,3.921
fuzhou_bus_amap_mobile_timetables_2line_expanded_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_2line_expanded_test,True,32,28,0,3,1,0,2621790,2.5
fuzhou_bus_amap_mobile_timetables_2line_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_2line_test,True,18,14,0,3,1,0,1380542,1.317
fuzhou_bus_amap_mobile_timetables_2unique_expanded_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_2unique_expanded_test,True,32,28,0,3,1,0,2889596,2.756
fuzhou_bus_amap_mobile_timetables_2unique_expanded_test_v2,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_2unique_expanded_test_v2,True,5,5,0,0,0,0,485841,0.463
fuzhou_bus_amap_mobile_timetables_309_full_query_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_309_full_query_test,True,37,31,0,5,1,0,3196462,3.048
fuzhou_bus_amap_mobile_timetables_all_lines_20260708,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_all_lines_20260708,True,3676,3642,0,12,3,2,485965270,463.453
fuzhou_bus_amap_mobile_timetables_current_after_user_fix,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_current_after_user_fix,True,16,11,0,4,1,0,662779,0.632
fuzhou_bus_amap_mobile_timetables_current_expanded_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_current_expanded_test,True,20,16,0,3,1,0,1709810,1.631
fuzhou_bus_amap_mobile_timetables_current_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_current_test,True,7,3,0,3,1,0,340152,0.324
fuzhou_bus_amap_mobile_timetables_high_confidence_fixes_capture_20260708,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_high_confidence_fixes_capture_20260708,True,146,121,18,5,2,0,12371379,11.798
fuzhou_bus_amap_mobile_timetables_k1_after_search_fix,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_after_search_fix,True,18,13,0,4,1,0,1543108,1.472
fuzhou_bus_amap_mobile_timetables_k1_bottom_threshold_fix_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_bottom_threshold_fix_test,True,59,59,0,0,0,0,5429248,5.178
fuzhou_bus_amap_mobile_timetables_k1_current_expand_fix_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_current_expand_fix_test,True,45,39,0,5,1,0,4111741,3.921
fuzhou_bus_amap_mobile_timetables_k1_expand_action_probe,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_expand_action_probe,True,23,17,0,5,1,0,1673680,1.596
fuzhou_bus_amap_mobile_timetables_k1_fast_bottom_fix_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_fast_bottom_fix_test,True,31,25,0,5,1,0,2652988,2.53
fuzhou_bus_amap_mobile_timetables_k1_full_rerun,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_full_rerun,True,14,8,0,5,1,0,35688,0.034
fuzhou_bus_amap_mobile_timetables_k1_full_rerun_awake,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_full_rerun_awake,True,39,33,0,5,1,0,3106871,2.963
fuzhou_bus_amap_mobile_timetables_k1_full_rerun_direction_fix,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_full_rerun_direction_fix,True,36,30,0,5,1,0,3123208,2.979
fuzhou_bus_amap_mobile_timetables_k1_full_rerun_snapshots,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_full_rerun_snapshots,True,21,21,0,0,0,0,1960950,1.87
fuzhou_bus_amap_mobile_timetables_k1_poi_branch_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_poi_branch_test,True,30,25,0,4,1,0,2577300,2.458
fuzhou_bus_amap_mobile_timetables_k1_regularized_test,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_regularized_test,True,83,83,0,0,0,0,7641864,7.288
fuzhou_bus_amap_mobile_timetables_k1_uri_after_fix,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_k1_uri_after_fix,True,13,8,0,4,1,0,796365,0.759
fuzhou_bus_amap_mobile_timetables_remaining_capture_20260708,matsim-example-project\data\transit\fuzhou_bus_amap_mobile_timetables_remaining_capture_20260708,True,3490,3203,280,5,2,0,297154532,283.389
test_316_route_priority_capture,matsim-example-project\data\transit\test_316_route_priority_capture,True,7,5,1,0,1,0,459058,0.438
