line_id,line_name,status,start_stop,end_stop,stop_count,has_polyline,timedesc_parseable,amap_timedesc_period_rows,combined_period_or_observation_rows,min_headway_minutes_combined,max_headway_minutes_combined,remaining_missing_items
350100020613,地铁1号线(三江口--象峰),1,三江口,象峰,25,True,True,8,8,5.0,10.0,
350100020612,地铁1号线(象峰--三江口),1,象峰,三江口,25,True,True,8,8,5.0,10.0,
350100020746,地铁2号线(洋里--苏洋),1,洋里,苏洋,22,True,True,8,8,5.0,10.0,
350100020745,地铁2号线(苏洋--洋里),1,苏洋,洋里,22,True,True,8,8,5.0,10.0,
900000090237,地铁4号线(半洲--帝封江),1,半洲,帝封江,23,True,True,10,10,5.0,10.0,
900000090236,地铁4号线(帝封江--半洲),1,帝封江,半洲,23,True,True,10,10,5.0,10.0,
900000088654,地铁5号线(福州火车南站--荆溪厚屿),1,福州火车南站,荆溪厚屿,20,True,True,6,6,7.0,8.0,
900000088653,地铁5号线(荆溪厚屿--福州火车南站),1,荆溪厚屿,福州火车南站,20,True,True,6,6,7.0,8.0,
900000076583,地铁6号线(万寿--潘墩),1,万寿,潘墩,16,True,False,0,6,7.0,8.0,official validation of estimated full-day frequency
900000076581,地铁6号线(潘墩--万寿),1,潘墩,万寿,16,True,False,0,7,7.0,8.0,official validation of estimated full-day frequency
900000139164,滨海快线(文岭--福州火车站),1,文岭,福州火车站,15,True,False,0,8,7.0,10.0,official validation of estimated full-day frequency
900000139163,滨海快线(福州火车站--文岭),1,福州火车站,文岭,15,True,False,0,8,7.0,10.0,official validation of estimated full-day frequency
