link_class,modes,metric,stage,count,min,mean,median,p90,p95,max
metro_pt_only,pt,capacity,before,230,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
metro_pt_only,pt,capacity,after,230,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
metro_pt_only,pt,permlanes,before,230,1.0,1.0,1.0,1.0,1.0,1.0
metro_pt_only,pt,permlanes,after,230,1.0,1.0,1.0,1.0,1.0,1.0
osm_road,car,capacity,before,20384,300.0,592.6658163265306,600.0,1000.0,1000.0,1800.0
osm_road,car,capacity,after,20384,300.0,802.6000784929356,700.0,1200.0,1200.0,6000.0
osm_road,car,permlanes,before,20384,1.0,1.0595172684458398,1.0,1.2,1.2,2.0
osm_road,car,permlanes,after,20384,1.0,1.053522370486656,1.0,1.0,1.0,4.0
osm_road,"car,pt",capacity,before,13672,300.0,1174.8610298420128,1200.0,1500.0,1800.0,2000.0
osm_road,"car,pt",capacity,after,13672,300.0,2842.7223522527793,3000.0,5400.0,6000.0,11000.0
osm_road,"car,pt",permlanes,before,13672,1.0,1.4640433001755413,1.5,2.0,2.0,2.0
osm_road,"car,pt",permlanes,after,13672,1.0,1.8355032182562903,2.0,3.0,3.0,5.0
synthetic_bus_connector,"car,pt",capacity,before,1152,900.0,900.0,900.0,900.0,900.0,900.0
synthetic_bus_connector,"car,pt",capacity,after,1152,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
synthetic_bus_connector,"car,pt",permlanes,before,1152,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_bus_connector,"car,pt",permlanes,after,1152,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_bus_trajectory,"car,pt",capacity,before,2209,900.0,900.0,900.0,900.0,900.0,900.0
synthetic_bus_trajectory,"car,pt",capacity,after,2209,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
synthetic_bus_trajectory,"car,pt",permlanes,before,2209,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_bus_trajectory,"car,pt",permlanes,after,2209,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_bus_trajectory,pt,capacity,before,899,900.0,900.0,900.0,900.0,900.0,900.0
synthetic_bus_trajectory,pt,capacity,after,899,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
synthetic_bus_trajectory,pt,permlanes,before,899,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_bus_trajectory,pt,permlanes,after,899,1.0,1.0,1.0,1.0,1.0,1.0
